                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8918,                 5.1698,                 3.9517,                      0,                      0,                      0,                      0,                  3.615,                  5.107,                 3.7876,               0.070476,              0.0032804,              0.0032804
                      1,                 3.7797,                 4.7346,                 3.6421,                      0,                      0,                      0,                      0,                  3.615,                 4.9298,                 3.5992,               0.040345,              0.0064828,              0.0064828
                      2,                 3.6647,                 4.4567,                 3.4652,                0.75342,                0.00875,                0.00053,                0.00017,                  4.718,                 361.61,                 7.5829,               0.010082,              0.0095532,              0.0095532
                      3,                 3.4061,                 4.2858,                 3.2532,                0.00219,                0.03148,                0.00119,                0.00022,                 4.3218,                 5.6719,                 5.4119,               0.009406,               0.009406,               0.009406
                      4,                 3.1526,                 4.0346,                 3.0887,                0.27766,                0.05194,                0.00785,                0.00162,                 2.9328,                 16.627,                 3.1915,               0.009406,               0.009406,               0.009406
                      5,                  2.884,                 3.8004,                 2.9145,                0.22617,                0.10175,                0.03189,                0.00996,                 2.7113,                 4.3491,                  2.909,               0.009208,               0.009208,               0.009208
                      6,                 2.7453,                 3.4806,                 2.7893,                0.06996,                0.13666,                0.04699,                0.01412,                 2.5457,                 4.6159,                 2.8076,                0.00901,                0.00901,                0.00901
                      7,                 2.5865,                 3.1962,                 2.6683,                0.36621,                0.15689,                0.08201,                0.02687,                 2.5002,                 5.2042,                 2.8059,               0.008812,               0.008812,               0.008812
                      8,                 2.5082,                  3.077,                 2.6062,                0.45066,                0.22224,                0.14651,                0.05534,                 2.2932,                 3.4613,                 2.5649,               0.008614,               0.008614,               0.008614
                      9,                 2.3897,                  2.917,                 2.5108,                0.45654,                0.27191,                0.17552,                0.07133,                 2.1577,                 3.5875,                 2.4291,               0.008416,               0.008416,               0.008416
                     10,                  2.284,                 2.6934,                 2.3769,                0.29776,                0.39052,                0.24392,                0.11487,                 2.1065,                 2.5456,                 2.3884,               0.008218,               0.008218,               0.008218
                     11,                 2.2755,                 2.5489,                 2.3625,                0.52926,                0.36812,                0.31753,                0.12112,                 2.2098,                 3.0599,                 2.4323,                0.00802,                0.00802,                0.00802
                     12,                 2.1676,                 2.4478,                 2.2882,                0.43956,                0.37999,                 0.3589,                0.16026,                  1.969,                 2.2735,                 2.2489,               0.007822,               0.007822,               0.007822
                     13,                 2.1054,                 2.2826,                 2.2447,                0.46583,                0.43661,                0.38947,                0.19784,                 1.9232,                 2.3873,                 2.2292,               0.007624,               0.007624,               0.007624
                     14,                 2.0358,                 2.2035,                 2.1993,                 0.5718,                 0.4302,                0.38521,                0.19478,                 1.8876,                 2.2392,                 2.2126,               0.007426,               0.007426,               0.007426
                     15,                 1.9798,                 2.1296,                 2.1601,                0.43366,                 0.4797,                0.42851,                0.21276,                 1.8891,                 2.2597,                 2.1923,               0.007228,               0.007228,               0.007228
                     16,                 1.9353,                 2.0642,                 2.1044,                 0.6141,                 0.5139,                0.52399,                0.27141,                 1.7936,                 1.9616,                 2.0832,                0.00703,                0.00703,                0.00703
                     17,                 1.9537,                 1.9946,                 2.1228,                0.60587,                0.61924,                0.55167,                0.30542,                   1.73,                 2.0007,                 2.0189,               0.006832,               0.006832,               0.006832
                     18,                  1.835,                  1.853,                 2.0243,                0.71621,                0.54167,                0.63218,                0.34962,                 1.6895,                 1.7078,                 1.9948,               0.006634,               0.006634,               0.006634
                     19,                 1.8565,                 1.8566,                 2.0172,                0.59156,                0.59627,                0.56669,                0.32623,                 1.6909,                 2.3577,                 2.0264,               0.006436,               0.006436,               0.006436
                     20,                 1.8142,                 1.7975,                 1.9669,                0.70545,                 0.6218,                0.67156,                0.38507,                 1.6732,                 1.6605,                 1.9511,               0.006238,               0.006238,               0.006238
                     21,                  1.771,                 1.6998,                  1.922,                 0.7424,                0.66891,                0.69023,                0.40521,                 1.6208,                 1.6322,                 1.9166,                0.00604,                0.00604,                0.00604
                     22,                 1.7214,                  1.675,                 1.9149,                0.76954,                 0.6874,                0.74315,                0.44531,                 1.5255,                 1.6423,                 1.8716,               0.005842,               0.005842,               0.005842
                     23,                 1.7252,                 1.6268,                 1.8759,                0.80645,                0.60661,                0.73588,                0.43586,                 1.5562,                 1.5418,                 1.8624,               0.005644,               0.005644,               0.005644
                     24,                 1.6834,                 1.6098,                 1.8669,                0.75432,                0.70801,                0.75375,                0.47479,                 1.4816,                 1.3925,                 1.8015,               0.005446,               0.005446,               0.005446
                     25,                 1.6258,                 1.5165,                 1.8174,                0.82241,                0.73511,                0.80894,                0.51487,                 1.4483,                 1.2795,                 1.7659,               0.005248,               0.005248,               0.005248
                     26,                 1.6322,                 1.4817,                 1.8268,                 0.7893,                0.73098,                0.78932,                0.50765,                 1.4262,                 1.3257,                 1.7555,                0.00505,                0.00505,                0.00505
                     27,                 1.5943,                 1.4671,                 1.8004,                0.82921,                0.70445,                0.78524,                0.51009,                 1.4359,                 1.3354,                 1.7793,               0.004852,               0.004852,               0.004852
                     28,                 1.5675,                 1.4016,                  1.767,                0.85241,                0.68497,                0.80805,                0.52217,                 1.4316,                 1.2991,                 1.7607,               0.004654,               0.004654,               0.004654
                     29,                 1.5408,                  1.406,                 1.7506,                 0.7809,                0.77735,                0.83739,                0.55146,                 1.3712,                  1.199,                 1.6994,               0.004456,               0.004456,               0.004456
                     30,                 1.5182,                 1.3184,                 1.6906,                0.78732,                0.79359,                0.83995,                0.56128,                   1.36,                 1.1728,                 1.6946,               0.004258,               0.004258,               0.004258
                     31,                 1.4979,                 1.3303,                 1.7372,                0.84168,                0.76467,                0.84871,                0.56838,                 1.3449,                  1.146,                 1.6857,                0.00406,                0.00406,                0.00406
                     32,                 1.4623,                  1.261,                 1.6881,                 0.8961,                0.76542,                 0.8583,                 0.5823,                 1.2914,                 1.1926,                 1.6371,               0.003862,               0.003862,               0.003862
                     33,                  1.466,                 1.3019,                 1.6591,                0.86719,                0.79017,                0.86988,                0.59219,                 1.2818,                 1.0972,                 1.6184,               0.003664,               0.003664,               0.003664
                     34,                 1.4128,                 1.1901,                 1.6149,                0.89506,                0.78972,                0.87745,                0.61096,                  1.243,                 1.0384,                 1.5929,               0.003466,               0.003466,               0.003466
                     35,                 1.3964,                 1.2138,                 1.6444,                0.86255,                0.82139,                0.87086,                0.58858,                  1.246,                  1.059,                 1.5947,               0.003268,               0.003268,               0.003268
                     36,                 1.4143,                  1.249,                 1.6437,                0.85945,                0.83441,                0.84706,                0.57482,                 1.2363,                 1.0578,                  1.574,                0.00307,                0.00307,                0.00307
                     37,                 1.4047,                 1.2067,                 1.6204,                0.90882,                0.80649,                0.88343,                0.61167,                 1.2227,                 1.0073,                 1.5646,               0.002872,               0.002872,               0.002872
                     38,                 1.3635,                 1.1593,                 1.6023,                0.90083,                0.81936,                 0.8837,                0.63088,                 1.1985,                 1.0147,                 1.5444,               0.002674,               0.002674,               0.002674
                     39,                 1.3656,                  1.177,                 1.6001,                0.87388,                0.82781,                0.86988,                0.62572,                 1.1763,                 1.0375,                 1.5245,               0.002476,               0.002476,               0.002476
                     40,                  1.307,                 1.1092,                 1.6268,                0.89538,                0.83149,                0.88941,                0.62086,                  1.216,                0.97993,                 1.5299,               0.002278,               0.002278,               0.002278
                     41,                 1.2841,                 1.0438,                  1.573,                0.94638,                0.82446,                0.89845,                0.64427,                 1.1612,                0.96048,                 1.5146,                0.00208,                0.00208,                0.00208
                     42,                 1.2599,                 1.0381,                  1.588,                0.92235,                0.85163,                 0.9013,                0.66354,                 1.1356,                0.91186,                 1.4786,               0.001882,               0.001882,               0.001882
                     43,                 1.2209,                0.98763,                 1.5502,                0.93986,                0.82777,                0.90494,                0.65066,                 1.1473,                0.91361,                 1.4827,               0.001684,               0.001684,               0.001684
                     44,                 1.2102,                0.99332,                 1.5299,                0.92735,                0.83996,                0.90544,                0.64975,                 1.1172,                0.90514,                  1.464,               0.001486,               0.001486,               0.001486
                     45,                 1.2081,                0.95983,                 1.5271,                0.93249,                  0.862,                0.91344,                0.67383,                  1.109,                0.88656,                 1.4437,               0.001288,               0.001288,               0.001288
                     46,                 1.1903,                0.95682,                 1.5147,                0.93179,                0.85674,                 0.9186,                0.68215,                 1.0584,                 0.8544,                  1.422,                0.00109,                0.00109,                0.00109
                     47,                 1.1263,                 0.9258,                 1.4833,                0.95004,                0.85559,                0.91693,                0.69198,                   1.04,                0.83759,                 1.4121,               0.000892,               0.000892,               0.000892
                     48,                 1.1554,                0.92654,                 1.4824,                0.93201,                0.85994,                0.91397,                0.69575,                 1.0435,                0.83936,                 1.4057,               0.000694,               0.000694,               0.000694
                     49,                 1.1366,                0.92543,                 1.4744,                0.95099,                 0.8702,                0.92194,                0.70292,                 1.0245,                0.81612,                 1.3913,               0.000496,               0.000496,               0.000496
